experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean,qlike_rank,rmse_rank,mae_rank
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,post_crisis,GARCH_11,880,6.046178430538009,3.176192213934147,1.745599802670625,2.872589686305472,3.324307356390317,2,3,17
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,post_crisis,RandomForest,880,6.087298651091857,3.2312807424283077,1.7472386666247162,2.872589686305472,3.3419473324363707,3,4,18
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,post_crisis,EGARCH_11,880,5.941289863597513,3.0772689801394644,1.7553282710469076,2.872589686305472,3.1001819074813937,4,1,15
GARCH_Rolling,by_period,Benchmark,asset_specific_rolling,XLF,XLF,post_crisis,Naive_Rolling22,880,6.11277099980882,3.000676250402914,1.7895538584737658,2.872589686305472,2.9208395167541528,5,5,11
ML_Rolling,by_period,Benchmark,asset_specific_rolling,XLF,XLF,post_crisis,Naive_Rolling22,880,6.11277099980882,3.000676250402914,1.7895538584737665,2.872589686305472,2.9208395167541528,6,5,11
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,post_crisis,XGBoost,880,6.691236097682841,3.835357177696433,1.8225683483364823,2.872589686305472,4.362864057990637,7,19,22
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,XLF,XLF,post_crisis,Naive_Rolling22,880,6.11277099980882,3.000676250402914,1.8807983208216208,2.872589686305472,2.9208395167541528,8,5,11
ML_Strict_PreCrisis,by_period,Benchmark,pooled,ALL,XLF,post_crisis,Naive_Rolling22,880,6.11277099980882,3.000676250402914,1.8807983208216208,2.872589686305472,2.9208395167541528,8,5,11
ML_Strict_PreCrisis,by_period,ML,asset_specific,XLF,XLF,post_crisis,RandomForest,880,6.583703646197924,2.644095195071296,2.62646643021175,2.872589686305472,1.0117472213897971,10,13,3
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,XLF,post_crisis,RandomForest,880,6.571369772621395,2.6390590794755036,2.707613178479378,2.872589686305472,0.9863153298523128,11,12,2
