Asset,scope,model,feature,importance,importance_window_end
KBE,asset_specific_rolling,XGBoost,squared_return_lag_3,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_volatility_5d,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_sum_squared_return_66d,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_volatility_66d,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,rolling_negative_share_5d,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,post_crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,negative_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,XGBoost,negative_squared_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,abs_return_lag_1,0.16573556797020483,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_downside_squared_return_66d,0.14711359404096835,2012-12-27
KBE,asset_specific_rolling,LightGBM,return_lag_3,0.09497206703910614,2012-12-27
KBE,asset_specific_rolling,LightGBM,return_lag_1,0.0893854748603352,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_downside_squared_return_22d,0.0670391061452514,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_abs_return_22d,0.06517690875232775,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_negative_share_22d,0.055865921787709494,2012-12-27
KBE,asset_specific_rolling,LightGBM,abs_return_lag_3,0.04283054003724395,2012-12-27
KBE,asset_specific_rolling,LightGBM,abs_return_lag_2,0.040968342644320296,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_downside_squared_return_5d,0.035381750465549346,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_mean_squared_return_5d,0.0297951582867784,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_negative_share_66d,0.0297951582867784,2012-12-27
KBE,asset_specific_rolling,LightGBM,abs_return_lag_5,0.0260707635009311,2012-12-27
KBE,asset_specific_rolling,LightGBM,return_lag_5,0.0223463687150838,2012-12-27
KBE,asset_specific_rolling,LightGBM,return_t,0.020484171322160148,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_abs_return_5d,0.0186219739292365,2012-12-27
KBE,asset_specific_rolling,LightGBM,abs_return_t,0.0111731843575419,2012-12-27
KBE,asset_specific_rolling,LightGBM,squared_return_lag_10,0.0111731843575419,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_mean_squared_return_22d,0.00931098696461825,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_mean_squared_return_66d,0.0074487895716946,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_negative_share_5d,0.00558659217877095,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_abs_return_66d,0.0037243947858473,2012-12-27
KBE,asset_specific_rolling,LightGBM,squared_return_t,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,negative_return_dummy_t,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,negative_squared_return_t,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,return_lag_2,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,squared_return_lag_1,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,squared_return_lag_2,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,squared_return_lag_3,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,squared_return_lag_5,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_sum_squared_return_5d,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_volatility_5d,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_sum_squared_return_22d,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_volatility_22d,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_sum_squared_return_66d,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,rolling_volatility_66d,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,post_crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,negative_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,LightGBM,negative_squared_x_crisis,0.0,2012-12-27
