Date,Asset,Period,Model,Standardized_Residuals
2006-11-21,SPY,full_sample,GARCH_11,0.017716849983551573
2006-11-22,SPY,full_sample,GARCH_11,0.21827697178548985
2006-11-24,SPY,full_sample,GARCH_11,-1.0228083886069028
2006-11-27,SPY,full_sample,GARCH_11,-2.961008610990064
2006-11-28,SPY,full_sample,GARCH_11,0.5071242406079475
2006-11-29,SPY,full_sample,GARCH_11,1.4393372354264329
2006-11-30,SPY,full_sample,GARCH_11,-0.0681767192917525
2006-12-01,SPY,full_sample,GARCH_11,-0.46174659679279345
2006-12-04,SPY,full_sample,GARCH_11,1.020386596595703
2006-12-05,SPY,full_sample,GARCH_11,0.5103160575088074
2006-12-06,SPY,full_sample,GARCH_11,-0.2690636325669906
2006-12-07,SPY,full_sample,GARCH_11,-0.8401816028201831
2006-12-08,SPY,full_sample,GARCH_11,0.148503688048361
2006-12-11,SPY,full_sample,GARCH_11,0.32731512386481754
2006-12-12,SPY,full_sample,GARCH_11,-0.2848170178769475
2006-12-13,SPY,full_sample,GARCH_11,0.026559703420005635
2006-12-14,SPY,full_sample,GARCH_11,1.4193433688300272
2006-12-15,SPY,full_sample,GARCH_11,-0.13739568685418344
2006-12-18,SPY,full_sample,GARCH_11,-0.6369569759084853
2006-12-19,SPY,full_sample,GARCH_11,0.17574851146796117
2006-12-20,SPY,full_sample,GARCH_11,-0.2673382193113818
2006-12-21,SPY,full_sample,GARCH_11,-0.8556346484371172
2006-12-22,SPY,full_sample,GARCH_11,-1.3127375512928827
2006-12-26,SPY,full_sample,GARCH_11,0.875144189572204
2006-12-27,SPY,full_sample,GARCH_11,0.9858131951943341
2006-12-28,SPY,full_sample,GARCH_11,-0.5175965405212533
2006-12-29,SPY,full_sample,GARCH_11,-0.8869095253727111
2007-01-03,SPY,full_sample,GARCH_11,-0.4643888868353441
2007-01-04,SPY,full_sample,GARCH_11,0.21581250459856885
2007-01-05,SPY,full_sample,GARCH_11,-1.6310871658105313
2007-01-08,SPY,full_sample,GARCH_11,0.6175160285233633
2007-01-09,SPY,full_sample,GARCH_11,-0.2965767013510637
2007-01-10,SPY,full_sample,GARCH_11,0.42117284768224783
2007-01-11,SPY,full_sample,GARCH_11,0.6175417923012761
2007-01-12,SPY,full_sample,GARCH_11,1.2014974181878062
2007-01-16,SPY,full_sample,GARCH_11,-0.49565729539466796
2007-01-17,SPY,full_sample,GARCH_11,-0.08582526710459291
2007-01-18,SPY,full_sample,GARCH_11,-0.7787494508473217
2007-01-19,SPY,full_sample,GARCH_11,0.19289167499443458
2007-01-22,SPY,full_sample,GARCH_11,-0.7495913155393966
2007-01-23,SPY,full_sample,GARCH_11,0.383477916881967
2007-01-24,SPY,full_sample,GARCH_11,1.3674289001970807
2007-01-25,SPY,full_sample,GARCH_11,-2.2959335287474794
2007-01-26,SPY,full_sample,GARCH_11,-0.27082718838451036
2007-01-29,SPY,full_sample,GARCH_11,-0.22632441778690962
2007-01-30,SPY,full_sample,GARCH_11,0.6845410595929844
2007-01-31,SPY,full_sample,GARCH_11,0.9353489339161143
2007-02-01,SPY,full_sample,GARCH_11,0.8088365941096214
2007-02-02,SPY,full_sample,GARCH_11,0.07642187665072325
2007-02-05,SPY,full_sample,GARCH_11,-0.10447948909093735
2007-02-06,SPY,full_sample,GARCH_11,-0.10806268322310461
2007-02-07,SPY,full_sample,GARCH_11,0.23106529463202252
2007-02-08,SPY,full_sample,GARCH_11,-0.40503092837664123
2007-02-09,SPY,full_sample,GARCH_11,-1.5674264834990466
2007-02-12,SPY,full_sample,GARCH_11,-0.7401204720892678
2007-02-13,SPY,full_sample,GARCH_11,1.2917816084082872
2007-02-14,SPY,full_sample,GARCH_11,0.9253676419663426
2007-02-15,SPY,full_sample,GARCH_11,0.06476932711630647
2007-02-16,SPY,full_sample,GARCH_11,-0.2333252395420294
2007-02-20,SPY,full_sample,GARCH_11,0.2120470373986558
2007-02-21,SPY,full_sample,GARCH_11,-0.23598587421289494
2007-02-22,SPY,full_sample,GARCH_11,-0.3061208950142836
2007-02-23,SPY,full_sample,GARCH_11,-0.9127925684992948
2007-02-26,SPY,full_sample,GARCH_11,-0.3363386152750342
2007-02-27,SPY,full_sample,GARCH_11,-7.799756931254074
2007-02-28,SPY,full_sample,GARCH_11,0.6684928406791126
2007-03-01,SPY,full_sample,GARCH_11,-0.28704464988793055
2007-03-02,SPY,full_sample,GARCH_11,-1.0870923326449815
2007-03-05,SPY,full_sample,GARCH_11,-0.7979106954434967
2007-03-06,SPY,full_sample,GARCH_11,1.2424058698798368
2007-03-07,SPY,full_sample,GARCH_11,-0.14321200581939247
2007-03-08,SPY,full_sample,GARCH_11,0.5919382228840138
2007-03-09,SPY,full_sample,GARCH_11,-0.05044695844445681
2007-03-12,SPY,full_sample,GARCH_11,0.04992312188962273
2007-03-13,SPY,full_sample,GARCH_11,-1.8356914269715217
2007-03-14,SPY,full_sample,GARCH_11,0.5214505067744388
2007-03-15,SPY,full_sample,GARCH_11,0.03795777757212534
2007-03-16,SPY,full_sample,GARCH_11,-0.3223383516605361
2007-03-19,SPY,full_sample,GARCH_11,1.0041936885975684
2007-03-20,SPY,full_sample,GARCH_11,0.41223618022403014
2007-03-21,SPY,full_sample,GARCH_11,1.4444741026914314
2007-03-22,SPY,full_sample,GARCH_11,-0.1481241314424742
2007-03-23,SPY,full_sample,GARCH_11,0.052000134183705866
2007-03-26,SPY,full_sample,GARCH_11,-0.2169526940684839
2007-03-27,SPY,full_sample,GARCH_11,-0.3335927578972901
2007-03-28,SPY,full_sample,GARCH_11,-0.8687476657627755
2007-03-29,SPY,full_sample,GARCH_11,0.016100562297050758
2007-03-30,SPY,full_sample,GARCH_11,-0.07721402054835312
2007-04-02,SPY,full_sample,GARCH_11,0.025727132147246815
2007-04-03,SPY,full_sample,GARCH_11,1.1923564037935748
2007-04-04,SPY,full_sample,GARCH_11,0.02452599765691534
2007-04-05,SPY,full_sample,GARCH_11,0.22249300245991044
2007-04-09,SPY,full_sample,GARCH_11,0.06170078989688953
2007-04-10,SPY,full_sample,GARCH_11,0.036287324838101216
2007-04-11,SPY,full_sample,GARCH_11,-0.6972455957879311
2007-04-12,SPY,full_sample,GARCH_11,0.49987825573856515
2007-04-13,SPY,full_sample,GARCH_11,0.5303560079618068
2007-04-16,SPY,full_sample,GARCH_11,1.273070126106316
2007-04-17,SPY,full_sample,GARCH_11,0.24969060087436648
2007-04-18,SPY,full_sample,GARCH_11,0.047039371588356825
2007-04-19,SPY,full_sample,GARCH_11,-0.18100994912612697
2007-04-20,SPY,full_sample,GARCH_11,1.3533208279039954
2007-04-23,SPY,full_sample,GARCH_11,-0.7064433033687072
2007-04-24,SPY,full_sample,GARCH_11,-0.07643110654202587
2007-04-25,SPY,full_sample,GARCH_11,1.3053080264456565
2007-04-26,SPY,full_sample,GARCH_11,0.03495308032232899
2007-04-27,SPY,full_sample,GARCH_11,-0.26786302868676615
2007-04-30,SPY,full_sample,GARCH_11,-1.4968271163647506
2007-05-01,SPY,full_sample,GARCH_11,0.2493054768185839
2007-05-02,SPY,full_sample,GARCH_11,0.7692450472202306
2007-05-03,SPY,full_sample,GARCH_11,0.7057968197044183
2007-05-04,SPY,full_sample,GARCH_11,0.45665912744734743
2007-05-07,SPY,full_sample,GARCH_11,-0.11493883903177364
2007-05-08,SPY,full_sample,GARCH_11,-0.37580148965611543
2007-05-09,SPY,full_sample,GARCH_11,0.31321598421308783
2007-05-10,SPY,full_sample,GARCH_11,-2.030959550330692
2007-05-11,SPY,full_sample,GARCH_11,1.164859681953842
2007-05-14,SPY,full_sample,GARCH_11,-0.45890982440023376
2007-05-15,SPY,full_sample,GARCH_11,-0.09742753455421055
2007-05-16,SPY,full_sample,GARCH_11,0.9349021865240229
2007-05-17,SPY,full_sample,GARCH_11,-0.45236754153885134
2007-05-18,SPY,full_sample,GARCH_11,1.2515876853139332
2007-05-21,SPY,full_sample,GARCH_11,-0.22038029869262796
2007-05-22,SPY,full_sample,GARCH_11,-0.2701390658890316
2007-05-23,SPY,full_sample,GARCH_11,-0.12765110930135026
2007-05-24,SPY,full_sample,GARCH_11,-1.7059614779747145
2007-05-25,SPY,full_sample,GARCH_11,0.5014093776299097
2007-05-29,SPY,full_sample,GARCH_11,0.4279900631241886
2007-05-30,SPY,full_sample,GARCH_11,1.1673237638278695
2007-05-31,SPY,full_sample,GARCH_11,-0.30527583216874754
2007-06-01,SPY,full_sample,GARCH_11,0.6533460570170581
2007-06-04,SPY,full_sample,GARCH_11,-0.12699973019837893
2007-06-05,SPY,full_sample,GARCH_11,-0.8265257549649851
2007-06-06,SPY,full_sample,GARCH_11,-1.9845487482938058
2007-06-07,SPY,full_sample,GARCH_11,-2.8068152577573304
2007-06-08,SPY,full_sample,GARCH_11,1.3459820471183739
2007-06-11,SPY,full_sample,GARCH_11,0.0871017998364448
2007-06-12,SPY,full_sample,GARCH_11,-1.3273734115794549
2007-06-13,SPY,full_sample,GARCH_11,1.4928666344680093
2007-06-14,SPY,full_sample,GARCH_11,0.5477606813957262
2007-06-15,SPY,full_sample,GARCH_11,0.4929270356937131
2007-06-18,SPY,full_sample,GARCH_11,-0.2223504229436302
2007-06-19,SPY,full_sample,GARCH_11,0.17577260025646282
2007-06-20,SPY,full_sample,GARCH_11,-1.7343417140921797
2007-06-21,SPY,full_sample,GARCH_11,0.4889083591827067
2007-06-22,SPY,full_sample,GARCH_11,-1.1284227128472593
2007-06-25,SPY,full_sample,GARCH_11,-0.608220512923771
2007-06-26,SPY,full_sample,GARCH_11,-1.2300536372754203
2007-06-27,SPY,full_sample,GARCH_11,1.4017876980313815
2007-06-28,SPY,full_sample,GARCH_11,-0.1043900031630309
2007-06-29,SPY,full_sample,GARCH_11,-0.06027424940239221
2007-07-02,SPY,full_sample,GARCH_11,0.8919750630537544
2007-07-03,SPY,full_sample,GARCH_11,0.29975615655978644
2007-07-05,SPY,full_sample,GARCH_11,-0.22503694923106948
2007-07-06,SPY,full_sample,GARCH_11,0.5201585899200626
2007-07-09,SPY,full_sample,GARCH_11,-0.014924097764212064
2007-07-10,SPY,full_sample,GARCH_11,-1.964615746240772
2007-07-11,SPY,full_sample,GARCH_11,0.6938442572652876
2007-07-12,SPY,full_sample,GARCH_11,1.6942456689351302
2007-07-13,SPY,full_sample,GARCH_11,0.2164377899170718
2007-07-16,SPY,full_sample,GARCH_11,-0.11297077521809269
2007-07-17,SPY,full_sample,GARCH_11,-0.1623748066672488
2007-07-18,SPY,full_sample,GARCH_11,-0.32359667415897425
2007-07-19,SPY,full_sample,GARCH_11,0.3677599917421092
2007-07-20,SPY,full_sample,GARCH_11,-1.4213507444763795
2007-07-23,SPY,full_sample,GARCH_11,0.2604779608563478
2007-07-24,SPY,full_sample,GARCH_11,-2.3171349899741585
2007-07-25,SPY,full_sample,GARCH_11,0.11898120022591649
2007-07-26,SPY,full_sample,GARCH_11,-2.7117202705343617
2007-07-27,SPY,full_sample,GARCH_11,-1.7593475177115208
2007-07-30,SPY,full_sample,GARCH_11,1.1214425284375729
2007-07-31,SPY,full_sample,GARCH_11,-0.9233218555234772
2007-08-01,SPY,full_sample,GARCH_11,0.2997442977387944
